馬名,騎手,馬番,走破時間,オッズ,通過,体重,体重変化,性,年齢,斤量,上がり,人気,レース名,日付,競馬場,クラス,芝ダート,距離,回り,馬場状態,単勝,複勝,枠連,馬連,ワイド,馬単,三連複,三連単
イッツソークール,蛯名正義,16,74.3,10.6,0.125,490,28,0,2,55.0,39.3,5,378,5,2,1,1200,0,0,0,130,"[110, 1320, 220]",5410,"[1700, 320, 6270]",6620,16840,16840
ダイワダイハード,中舘英二,6,71.3,1.4,0.15384615384615385,514,8,0,2,55.0,39.5,3,335,2,2,1,1150,0,0,0,1690,"[220, 940, 100]",34890,"[4500, 320, 1510]",70470,10580,10580
クレヨン,酒井忍,10,75.8,63.3,0.16666666666666666,486,0,1,2,54.0,39.8,1,364,5,3,1,1200,0,0,1,250,"[130, 270, 250]",960,"[520, 590, 1780]",1330,3450,3450
アイノヤマト,柴田大知,11,75.3,32.6,0.4666666666666667,412,2,0,2,55.0,39.6,8,363,5,2,1,1200,0,0,0,950,"[240, 2390, 610]",25180,"[3890, 1130, 11910]",55380,100430,100430
ワイルドインローズ,北村宏司,7,76.9,58.0,0.8,484,0,0,2,55.0,38.9,2,364,5,3,1,1200,0,0,1,250,"[130, 270, 250]",960,"[520, 590, 1780]",1330,3450,3450
セイカブレイズ,田中勝春,11,72.6,22.8,0.9166666666666666,490,0,0,2,55.0,35.0,7,363,5,3,0,1200,0,0,1,180,"[100, 140, 260]",330,"[160, 370, 630]",480,910,910
ナムラロイヤル,南田雅昭,18,114.6,180.2,0.16666666666666666,464,0,0,2,52.0,37.1,5,342,4,3,0,1800,1,0,0,290,"[130, 160, 140]",900,"[360, 240, 400]",1480,990,990
ユキノスバル,田中剛,1,75.2,142.0,0.2857142857142857,458,-2,0,2,55.0,39.4,3,370,5,2,1,1200,0,0,0,130,"[110, 620, 1520]",1570,"[770, 1810, 16490]",1870,34100,34100
ジェネラスボーイ,蛯名正義,7,114.2,91.7,0.8541666666666666,470,-4,0,2,54.0,38.3,3,289,0,2,0,1800,0,1,0,330,"[160, 220, 1390]",1260,"[540, 2990, 4410]",2300,21750,21750
スプレンダアスルガ,吉田隼人,15,76.4,204.8,0.75,490,0,0,2,52.0,40.0,3,378,5,3,1,1200,0,0,0,320,"[180, 320, 680]",1940,"[660, 1080, 3420]",3080,16260,16260
フジミネシャトル,江田照男,16,85.0,232.7,0.3888888888888889,418,-12,1,2,54.0,35.7,6,357,4,2,0,1400,1,0,0,1180,"[270, 130, 160]",1730,"[550, 810, 280]",4600,2130,2130
パシコグランルビー,嘉藤貴行,1,62.7,5.2,0.1,474,0,0,2,55.0,38.2,6,363,6,3,1,1000,1,0,0,240,"[100, 110, 130]",350,"[140, 250, 210]",760,520,520
スナークシリウス,藤岡佑介,4,98.4,98.3,0.4444444444444444,470,0,0,2,54.0,36.5,4,343,4,3,0,1600,1,0,0,550,"[180, 150, 460]",1080,"[410, 1430, 1060]",2590,7450,7450
アキノニホンカイ,田辺裕信,4,75.1,64.6,0.9375,442,0,0,2,55.0,38.4,2,335,2,3,0,1200,0,0,0,300,"[120, 120, 210]",650,"[320, 560, 580]",1260,990,990
スマイルブルーム,村田一誠,2,93.9,6.9,0.18181818181818182,482,0,0,2,55.0,45.2,2,336,4,3,1,1400,1,0,1,410,"[180, 390, 230]",3910,"[1420, 530, 1640]",6140,8410,8410
キョクイチヴィル,吉田隼人,15,100.8,244.9,1.0,460,0,0,2,52.0,36.4,8,370,5,3,0,1600,0,0,0,1430,"[520, 1640, 730]",41720,"[9120, 3850, 10610]",83920,159890,159890
キャスティング,福永祐一,12,118.7,18.1,0.78125,502,-4,0,2,55.0,39.7,2,371,5,2,1,1800,0,0,1,120,"[100, 300, 220]",830,"[430, 340, 2250]",990,3320,3320
ユーセイシアトル,田中勝春,16,123.2,7.4,0.1875,450,4,0,2,55.0,36.2,4,349,4,2,0,2000,1,0,0,580,"[180, 190, 280]",1300,"[460, 810, 880]",2680,4360,4360
ミラクルトライ,ボニヤ,5,118.7,21.2,0.15,480,-4,0,2,55.0,39.4,6,363,5,2,1,1800,0,0,0,550,"[220, 220, 410]",1770,"[770, 920, 1850]",3200,7380,7380
フューチュリズム,藤田伸二,10,112.7,16.9,0.5128205128205129,466,0,0,2,55.0,39.2,7,356,4,3,0,1800,1,0,0,270,"[130, 130, 220]",450,"[180, 390, 560]",870,1210,1210
グランドタイガー,吉永護,16,101.1,22.0,0.65625,488,8,0,2,55.0,39.2,2,357,4,2,1,1600,1,0,0,470,"[180, 170, 200]",980,"[350, 520, 520]",2140,2140,2140
サーストンラウンド,村田一誠,14,75.9,18.6,0.875,494,0,0,2,55.0,39.1,5,378,5,3,1,1200,0,0,0,320,"[180, 320, 680]",1940,"[660, 1080, 3420]",3080,16260,16260
ベルグヤワタ,佐藤聖也,5,84.2,755.8,0.7222222222222222,474,4,0,2,52.0,36.2,8,356,4,2,0,1400,1,0,0,410,"[210, 1700, 2800]",23930,"[6590, 8020, 36300]",41320,1015440,1015440
マイネルカルディア,ボニヤ,7,84.7,130.6,0.8055555555555556,476,14,0,2,55.0,36.1,8,349,4,2,0,1400,1,0,0,190,"[130, 260, 330]",1050,"[390, 490, 1390]",1550,3460,3460
アイゼンシュタイン,内田博幸,5,75.3,16.1,0.16666666666666666,458,0,0,2,55.0,39.4,6,371,5,3,1,1200,0,0,1,180,"[100, 110, 150]",200,"[120, 230, 310]",330,480,480
ヤマニンアルチザン,江田照男,18,99.8,117.3,1.0,440,6,0,2,55.0,37.3,8,350,4,2,0,1600,1,0,0,500,"[180, 120, 600]",640,"[300, 2740, 1120]",1360,6660,6660
コスモレヴュー,佐々木国,8,113.4,163.5,0.21428571428571427,440,2,0,2,55.0,38.3,3,302,0,2,0,1800,0,0,1,130,"[110, 180, 200]",560,"[250, 240, 690]",770,1370,1370
エフテーラヴ,丹内祐次,7,104.0,440.9,0.96875,446,0,1,2,52.0,40.2,1,357,4,2,1,1600,1,0,0,470,"[180, 170, 200]",980,"[350, 520, 520]",2140,2140,2140
アイキョウムゲン,デザーモ,3,102.5,15.0,0.8214285714285714,450,0,0,2,55.0,39.9,6,356,4,3,1,1600,1,0,0,170,"[110, 170, 1590]",430,"[210, 2400, 2840]",640,7350,7350
ユーワミネルヴァ,嘉藤貴行,7,98.0,230.6,0.3611111111111111,434,-2,1,2,54.0,37.4,3,356,4,2,0,1600,1,0,0,620,"[220, 360, 140]",4940,"[1320, 460, 680]",8920,2980,2980
サインプレー,勝浦正樹,3,76.9,160.2,0.6666666666666666,484,0,0,2,55.0,40.1,6,371,5,3,1,1200,0,0,1,180,"[100, 110, 150]",200,"[120, 230, 310]",330,480,480
ヤマニンスムーサー,江田照男,9,85.7,259.4,0.8333333333333334,454,0,1,2,54.0,37.5,7,356,4,2,0,1400,1,0,0,410,"[210, 1700, 2800]",23930,"[6590, 8020, 36300]",41320,1015440,1015440
トウショウシロッコ,吉田豊,5,124.9,3.2,0.3958333333333333,466,-4,0,2,55.0,37.5,2,371,8,2,0,2000,0,0,1,220,"[100, 130, 150]",350,"[180, 230, 290]",630,680,680
ナスノハツカゼ,蛯名正義,13,109.7,114.7,0.9487179487179488,458,0,0,2,55.0,35.3,1,356,4,3,0,1800,1,0,0,270,"[130, 130, 220]",450,"[180, 390, 560]",870,1210,1210
マイネルネオス,梶晃啓,9,97.8,37.5,0.2,454,0,0,2,55.0,35.2,4,370,5,3,0,1600,0,0,0,1430,"[520, 1640, 730]",41720,"[9120, 3850, 10610]",83920,159890,159890
コスモスコヴィル,二本柳壮,15,124.3,112.5,0.3235294117647059,448,2,0,2,55.0,35.9,4,364,5,2,0,2000,0,0,1,110,"[110, 600, 4230]",2010,"[950, 3870, 33510]",2400,46830,46830
コスモシレナ,江田照男,14,127.2,38.4,0.06666666666666667,456,0,1,2,54.0,35.6,7,371,5,3,0,2000,0,0,1,220,"[130, 400, 4070]",2740,"[1040, 5350, 27680]",3280,100690,100690
トーセンクルーズ,ボニヤ,4,127.8,130.7,0.5666666666666667,478,0,0,2,55.0,35.5,2,371,5,3,0,2000,0,0,1,220,"[130, 400, 4070]",2740,"[1040, 5350, 27680]",3280,100690,100690
レインボージャック,デザーモ,4,109.1,4.6,0.4166666666666667,472,2,0,2,55.0,34.3,3,357,4,2,0,1800,1,0,0,3030,"[540, 190, 220]",4180,"[1450, 1450, 520]",11820,6500,6500
コスモハンブルグ,佐藤哲三,1,115.4,13.8,0.9230769230769231,482,0,0,2,55.0,35.5,8,364,5,3,0,1800,0,0,2,460,"[160, 140, 210]",860,"[350, 650, 530]",1610,1820,1820
ケイジーウィザード,南田雅昭,7,124.3,421.7,0.6029411764705882,462,-4,0,2,52.0,35.5,2,364,5,2,0,2000,0,0,1,110,"[110, 600, 4230]",2010,"[950, 3870, 33510]",2400,46830,46830
コスモギャザー,安藤勝己,1,109.7,98.7,0.7948717948717949,496,0,0,2,55.0,35.4,2,356,4,3,0,1800,1,0,0,270,"[130, 130, 220]",450,"[180, 390, 560]",870,1210,1210
ミヤギブレイド,石橋脩,16,70.9,109.3,0.5625,436,0,0,2,54.0,35.6,3,335,2,3,0,1200,0,0,0,300,"[120, 120, 210]",650,"[320, 560, 580]",1260,990,990
アドマイヤセナ,柴田善臣,11,98.8,3.8,0.7333333333333333,498,0,0,2,55.0,35.5,7,370,5,3,0,1600,0,0,0,1430,"[520, 1640, 730]",41720,"[9120, 3850, 10610]",83920,159890,159890
ナンヨーノアイ,藤田伸二,4,86.2,12.5,0.6,428,0,1,2,54.0,34.8,5,322,4,3,0,1400,1,0,1,910,"[280, 1240, 170]",30160,"[6700, 510, 3520]",52840,31910,31910
ユキノマーメイド,北村宏司,12,109.7,4.1,0.21875,444,-2,1,2,54.0,35.4,4,370,5,2,0,1800,0,0,0,610,"[180, 150, 180]",930,"[430, 600, 440]",2660,1900,1900
バンダムラッシュ,郷原洋司,3,98.4,215.7,0.8666666666666667,454,0,0,2,55.0,34.7,3,370,5,3,0,1600,0,0,0,1430,"[520, 1640, 730]",41720,"[9120, 3850, 10610]",83920,159890,159890
